canonical_jp_name,english_name,room_type,partner,start_date,end_date,known_features,parade_mii_status,evidence_grade,status,notes
福袋の間,Lucky Bag Room 2011,seasonal,Wii no Ma,2011-01-01,2011-01-05,"various New Year present drawings",not_found,A,confirmed,"Official December 2010 topics page"
福袋の間,Lucky Bag Room 2012,seasonal,Wii no Ma,2012-01-01,2012-01-05,"12 prize types; about 300 total prizes; included Wii no Ma low table",not_found,B,confirmed,"Contemporary report"
Miiの間,Mii Room,service,Wii no Ma,,2012-04-30,"Mii games; drawings for original Mii goods; Mii keychain sales; game introductions; showcases of various Miis; reported weekly drawing for 100 original Mii keychains",logo_reference_found,A,partial,"Official directory confirms room by 2012-01-01 and advertises keychain sales; official 2012-01-16 topics entry confirms broader feature set; opening date still missing"
ありがとうの間,Thank You Room,service,Wii no Ma,2012-03-03,2012-04-30,"farewell room; Wii no Ma goods giveaway thanking users",logo_reference_found,A,confirmed,"Official directory capture on 2012-03-05 confirms giveaway mechanic; exact March 3 start currently cross-referenced from contemporary/community evidence"
プレゼントの間,Weekly Present Room,campaign,Wii no Ma,2010-08-28,2010-10,"8-week free giveaway campaign with weekly-changing prizes; first prizes were a salad spinner and Kiri & Stick",visual_reference_found,A,confirmed,"Official directory later styles it 今週のプレゼントの間; official archive says it ran until mid-October; authentic guide Mii binaries not found"
新しいこと はじめよう！の間,Let's Start Something New Room,campaign,Wii no Ma,2010-03-27,,"presents intended to support users taking on new challenges; second prize set launched 2010-04-04",not_found,A,confirmed,"Official March 2010 topics archive"
アフラックダックの間,Aflac Duck Room,partner,Aflac,2009-12-20,,"まねきねこダック campaign/content",logo_reference_found,A,partial,"Listed in official January 2010 directory; contemporary launch log fixes opening date; canonical logo URL referenced but binary missing and full mechanics remain unknown"
イオンの間,AEON Room,partner,AEON,2009-05-01,,"company and retail information; user questionnaire",logo_reference_found,A,partial,"Launch-week hands-on reporting confirms AEON as an original Company Room sponsor and describes company/retail material plus a questionnaire; official January 2010 directory references canonical logo URL but binary is missing"
グリコの間,Glico Room,partner,Ezaki Glico,2009-12-24,,"Pocky commercials and a collection of older Glico commercials; official directory links to associated program list",logo_reference_found,A,partial,"Listed in official January 2010 directory; contemporary launch log supplies date and content; canonical logo URL referenced but binary missing"
明光義塾の間,Meiko Gijuku Room,partner,Meiko Network Japan,2009-12-12,,"education/cram-school information",logo_reference_found,A,partial,"Listed in official January 2010 directory; contemporary launch log fixes opening date; canonical logo URL referenced but binary and full mechanics remain missing"
ユニセフの間,UNICEF Room,partner,Japan Committee for UNICEF,,,"information about the lives of children around the world",logo_reference_found,A,existence_confirmed,"Listed in official January 2010 directory; canonical logo URL referenced but binary missing"
セブン＆アイ・ホールディングスの間,Seven & i Holdings Room,partner,Seven & i Holdings,2009-05-01,,"sponsor link from 自然Wiiテレビ 動物たち; company and retail information; user questionnaire; later Christmas campaign",not_found,B,confirmed,"Launch-week contemporary reviews identify Seven & i as one of the four original Company Room sponsors, link it to 自然Wiiテレビ, and describe the shared company-introduction/questionnaire format; full canonical title spelling is supported by a later capture but original binary/layout remain missing"
ユニリーバの間,Unilever Room,partner,Unilever Japan,2009-05-01,,"company introduction; user questionnaire; LUX origin-story content; drain-slime-removal video",not_found,B,confirmed,"Launch-week contemporary reviews identify Unilever as one of the four original Company Room sponsors and describe LUX and household-product content plus the shared questionnaire format; exact room binary/layout and closing date remain missing"
ダイワハウスの間,Daiwa House Room,partner,Daiwa House Industry,,2009-11-07,"たてもの探検隊 videos; たてもの探検隊のうた; featured a ring-tailed lemur character",not_found,B,confirmed,"Contemporary October 2009 posts explicitly connect the videos and song to Wii no Ma; contemporary Wii/DS update log records the room disappearing on 2009-11-07; opening date/layout/binaries remain unknown"
ロッテ ガーナの間,Lotte Ghana Room,partner,Lotte,2009-11-21,,,not_found,B,existence_confirmed,"Contemporary service update log records it among the rooms added when 会社の間 became いろんな間; original official image/page and mechanics remain missing"
日本郵便の間,Japan Post Service Room,partner,Japan Post Service,2009-11-21,,,not_found,B,existence_confirmed,"Contemporary service update log records it among the rooms added when 会社の間 became いろんな間; original official image/page and mechanics remain missing"
ニコンの間,Nikon Room,partner,Nikon,,2010-09,"photography tutorial videos; two イン・ザ・パーツ videos; official March entry says the room returned/revived",logo_reference_found,A,confirmed,"Contemporary service log records the 2010-08-01 return restoring earlier photography tutorials plus two イン・ザ・パーツ videos; official directory snapshots show non-contiguous availability; logo filename survives but binary is missing"
ハイパーヨーヨーの間,Hyper Yo-Yo Room,brand,Bandai,2010-04,,"Hyper Yo-Yo trick videos",logo_reference_found,A,confirmed,"Official directory names Bandai and invites users to watch tricks; logo binary missing"
イリュームの間,illume Room,partner,Max Factor Japan,2010-07,2010-08,"product samples for the first 50000 users",logo_reference_found,A,partial,"Official directory snapshots on 2010-07-24 and 2010-08-24; logo binary missing; verify partner from a first-party corporate source"
ロームの間,ROHM Room,partner,ROHM,2010-09,2010-09-17,"知恩院の秘密を科学で紹介; electronic-kit giveaway",logo_reference_found,A,confirmed,"Contemporary 2010-07-17 service log describes science-based Chion-in secrets content and an electronic-kit giveaway; official directory states the room ran until the 17th; logo filename survives but binary is missing"
田中貴金属の間,Tanaka Precious Metals Room,partner,Tanaka Precious Metals,2010-10,,"quiz campaign awarding 100g of pure gold",logo_reference_found,A,confirmed,"Official directory snapshot on 2010-10-23; logo binary missing"
マクセルの間,Maxell Room,partner,Hitachi Maxell,2010-12,,"Pokemon Voltage product information",logo_reference_found,A,existence_confirmed,"Official directory capture on 2010-12-18; verify whether content included additional Maxell products"
セキスイハイムの間,Sekisui Heim Room,partner,Sekisui Heim,2011-01,,"暮らしの納得ポイント videos and animated commercials",logo_reference_found,A,confirmed,"Official directory captures in January 2011"
東京海上グループ超保険の間,Tokio Marine Group Super Insurance Room,partner,Tokio Marine Group,2011-01,,"Nezucchi wordplay/riddle performance themed around 超保険",logo_reference_found,A,confirmed,"Official January 2011 directory"
SOYSHの間,SOYSH Room,brand,Otsuka Pharmaceutical,2011-02,,"SOYSH soy-carbonated-drink present campaign",logo_reference_found,A,confirmed,"Official 2011-02-25 directory capture"
エディオンの間,EDION Room,partner,EDION Group,2011-03,,"educational content explaining how household electronics work; Flipnote Hatena contest エディ店長が飼ってそうなペットを描こう！ held 2011-05-02 through 2011-05-15; four-game software set grand prize; Edion manager room-theme participation prize",logo_reference_found,A,confirmed,"Official directory captures from March through May 2011; contemporary service log preserves the contest title dates and prizes"
リコーの間,Ricoh Room,partner,Ricoh,2011-03,,"Osamu Mukai video; digital-camera CX5 photographic works",logo_reference_found,A,confirmed,"Official 2011-03-23 directory capture"
進研ゼミ小学講座の間,Shinken Zemi Elementary Course Room,education,Benesse,2011-03,,"animated content for elementary-school students",logo_reference_found,A,confirmed,"Official 2011-03-23 directory explicitly invites elementary pupils to watch its animation"
進研ゼミ中学講座の間,Shinken Zemi Junior High Course Room,education,Benesse,2011-03,,"free trial workbook giveaway",logo_reference_found,A,confirmed,"Official 2011-03-23 directory explicitly advertises a free trial problem-book present"
クッキングの間,Cooking Room,service,Wii no Ma,2011-05,,"cooking content hub",logo_reference_found,A,partial,"Official directory confirms room by 2011-05-24 and through 2012-03-12; full feature set missing"
すぐ禁煙の間,Quit Smoking Now Room,health,Pfizer,2011-05,,"family-oriented smoking cessation information",logo_reference_found,A,confirmed,"Official 2011-05-24 directory asks whether anyone in the family smokes"
くらしの間,Lifestyle Room,shopping,Belle Maison,2011-11,2012-04-30,"Belle Maison popular-catalog giveaway; seasonal lifestyle catalogs; Spring/Summer 2012 catalog presentation",logo_reference_found,A,partial,"Official directory confirms room from 2011-11-02 through shutdown and explicitly advertises the Spring/Summer catalog in January 2012; other rotations need details"
サンリオの間,Sanrio Room,franchise,Sanrio,2012-01,,"presents and promotional announcements",logo_reference_found,A,confirmed,"Official 2012-01-01 directory capture; absent by 2012-01-31 capture"
レノボの間,Lenovo Room,partner,Lenovo,2012-01,2012-04-30,"Lenovo PC introductions; original promotional videos",logo_reference_found,A,confirmed,"Official January 2012 directory explicitly advertises PC introductions and original videos; distinguish from Lenovo shopping storefront opened 2011-09-16"
くもんの間,Kumon Room,education,Kumon,2012-01,,,logo_reference_found,A,existence_confirmed,"Officially present in 2012-01-31 capture and absent in 2012-02-13 capture; exact dates/features missing"
